#00xx: Singles

#0000: Full House

#0001: Last Digit

#0002: Hidden Single

#0003: Naked Single

#01xx: Intersections
#0100: Locked Candidate Type 1
........9.6....3..2.4....7...937.5.1.....2..3...15.7....1.24.....8.3.6...4.5..... # lc1(3) s
....2.3.5.9...7..44.....8.9.7214......5.63.4.....8......1576...6.....5.3......... # lc1(3) s
.1....5.8...4.3....567.........2..8.4.....3.22..376..19.8...254.....7...........3 # s xy(5) s
.54.173..2.84.6.............9.....45..6.4.81.........2...2.9.........76..3.7..... # s xy(4) s
3.....8.........54...6.......7..32.5....7.4...1.8.4..68..5...31..218.....94...... # s xy(3) s
6......9...843.....7......3.........815....2...937..1......37....4.6...82......41 # s xy(3) s
..1..7543.....86.9.2.........6...7..7...3....1.56....4......3.1.9...4......2...96 # s xy(3) s
.......6.1.3.7...2..2...4.....59.....6...8...7..4......37....95.847...1.....5...3 # s xy(3) s
......57....4.......9..7...4..7..8...765.3.4.........26..3.....537.68....1...26.. # s xy(1) s
..5.8............64....1....7.....8.1..569..76......53714...8....3.942........... # s xy(1) s
....6........1.863..3..9...9.4......3.....7.457.82.........658.69...7.......4..3. # s xy(1) s

#0801: XYZ-Wing
.73.....9514.92.....2.......67.59..28...1.53.............14.9.......835.......1.7 # s xyz(2) s
....2......8.....46.5..31...4...9.6.8...6.....2.8...1....2.4537.3.7.12........... # s xyz(2) s
6...527..4....35......1.............37.1.8.4...574.6.3..89..42.......3....2.86..9 # s xyz(2) s
.4..8.6.13.7.5..82..1..9....2......9...54...........767.6........86...5.1.......8 # s xyz(2) s
9...3......3.....5.8.....165.17.32.......4......1..69.8...49.72...21....4......5. # s xyz(1) s
6.......239......4....2638.15..3.......5.......79..........3.......18247...24...1 # s xyz(1) s
...7..6.........9.294....18....738..1.........4726.......5...62..1......9.3..218. # s xyz(1) s
.....4...739.61..4.2.....6......795.....9.2.........8368............94..2.1...3.. # s xyz(1) s
..48..6......1.5.....2.5..7.4...7.9.8....1...61........5..3.92.....7..8....5.6... # s xyz(1) s
9...58..326...........6..9........4..4...13.61..6...........7....1.834....5914.2. # s xyz(1) s
.69..........21......8..4....153..8...76...5.......1..........39.2.8..1....34.2.5 # s xyz(1) s
..15..9.....23...58.6..142.23.7..8...1..8.5.....................9.8..6.......6374 # s xyz(1) s
.....8..7.3........9736....95.........3.7.......913.4.589.....4.....5.7927...4.1. # s xyz(1) s
..3....1.........7.947..2.55.1..8.4..............7652.6....31....8.5........9.75. # ssts xyz(2) s
......2158.1..9......7...4..4.........8.....7.3..6....1.7..2.....2.8.9........7.3 # ssts xyz(2) s
6.87....4..2.1....37.8..1.5.....8.3..........756.......974...5....12..6.........2 # ssts xyz(2) s

#0802: WXYZ-Wing

#0803: W-Wing
6......7.....2.....58..1.....4.....2...1..9.6597.4...892.4..6.....5.......68.3... # s w(5) s
1....58....4.......7..8.65.4.7...12....9....6......7....31....95...9.3......57.68 # s w(4) s
...5924....416..9..82..3...6..3...8......47......7.1.5..7.....6.3.......5.6..1... # s w(4) s
4...3867..5....8..79.........2.....9...462.81...1.5.....6........7..6.4....37.1.. # s w(4) s
.5.1.2.....3...2.61.......95.42.6.78..68.315.....4.6..8.5..4............7...18... # s w(4) s
91...67.............2..3.8..317................862..1...3..4.5...9..81.3....5..69 # s w(3) s
..18596.25....2..4...7...3...69..2.3.89............................67..149.3.1... # s w(3) s
7...3.5.4.9.6..137.....8...8........4....5..2.7149......6.7...5.8.............671 # s w(3) s
...1.2576..7....3.951..........3.........84.....54.21...98..1472.......8.1.3..... # s w(3) s
9.8.......6......4.....892..4...3...68....4.1..1.....68..2...4..9.3.57.....8.419. # s w(1) s
....1..5..15.29..3....864...87...1..9................6.96......2....5.494..3.8.65 # s w(1) s
.251..........9.3.4..7.89...4....8..15.4.........6...4........8263.4.....8.39.1.6 # s w(1) s
7..2................15..79247........92..7..61...52...2..18..63....3...95.......1 # ssts w(6) s
5..9...67..1....5..745.........2.......6....8.8..193...........21..6....93....7.5 # ssts w(6) s
.2..1..........57..6.3...................34.259..4..187..5.4......2.89419........ # ssts w(5) s
..6..5...9.....72.14....36........59.1..93....7...1.....5..7..8.3.46...........93 # ssts w(5) s

#09xx: Almost Locked Sets
#0901: ALS-XZ rule
.24.6....5.74.9.1..............9..7.4....85.3..8..7.6........46..6..3..7.5.7..1.. # s axz(2) x
....8.......4........12564.72......6..431....9......8.25.....3869...712.......... # ssts axz(5) axz(1) x
.........2.....3495...3926..9.........41...8....598..4..182...6......7....3..6... # x axz(17) x
.........6..5..18..83.1.......9573...6.....92...............254.487...1...23..... # x axz(13) x
...2..6..67...8....853..........6...5..19...2..4...79......426....7..8.3.1...29.. # x axz(6) axz(1) x
42..8...1....57.....8..1...893....2.5.........1....69..59.1...3....9645.2........ # x axz(5) x
..34.7.6.4....59...276....1........591.....8.2..78....6..25.4...4..........1....3 # x axz(3) x
......6.885..42..3..9.8....4.........8.569..4.2..........3......9.4...357..81.9.. # x axz(3) x
..5.8..34...3.65.2...2......42..1....6....3..8..7......7.9..8..23......1.....2.63 # x axz(3) x
.8.51746.54.8............7......8..13...9.........564............5723.1.42.9.1... # x axz(2) x
94...51.....41.......7...2.16..7.9....8...4.........518.69247..79...........5.2.. # x axz(2) x
.4...7.8...25.....3..............69....3.4....23.8.7..........4..1..8....9861..2. # x axz(1) x
5...3...4.31.5.9.......6.5....3.....4.8...6.......952...4..21.7..2.1.....7.....96 # x axz(1) x

#0902: ALS-XY-Wing rule
....43.......5...8.721......9.........5....1.18.3..........1.67..7..91..3...6592. # ssts axy(1) x
9....7.68.2....9.3..4......2.....4...6..8...28.39..71......5.973.76....1......... # ssts axy(1) x
..4..7...12....7...6.1...8..4678...9..9.....453.69..1....4325...................8 # ssts axy(1) x
.........6..5..18..83.1.......9573...6.....92...............254.487...1...23..... # x axy(7) x
931......6.5.97..8............27.....24....568...........5.81.4..........893...6. # x axy(4) x
...92.1.5.8.........5...94.6...3....2..7...9649......2..9............2.4....54.1. # x axy(3) x
...59..482...7..19.9..14....4.....8...27..........6..79...2.7..8..3.5....3....... # x axy(3) x
4.6....7......1.6.....8....23..........34.......8..95..9.........2.5761.5...2...4 # x axy(2) x
........8..3..865...52..3.17..1.3....54..............9.8.3...423.98741........... # x axy(1) x
.........2.....3495...3926..9.........41...8....598..4..182...6......7....3..6... # x axy(6) x axy(1) x

#0903: ALS-XY-Chain
....27....4............4236.9.........24.85.9.8..13.....48.....7......62.26.3..8. # x ach(1) ssts
..7..5..4.......16......5..3..9.....8.4.......56378........2.61..346925...91..... # x ach(1) ssts
....3.......2...577.....81.1.9..5....6...4.3.....82.....87....44......8..37..15.. # x ach(4) x
..........3..7.8.98....315.9.8142............5..6...4.1.42........7....6.8...531. # x ach(3) x
967.....5...6...471..........3..98..2.543..7..7.....6...1.........5.2.8.7.....4.2 # x ach(3) x
6..34....92..8..1..4.......4.7.....1.....53......2..9...86....9...5..2.........76 # x ach(2) x
.5...19.737...8.6.6.........6..4781..1.6....27.3............18...8..2.36........9 # x ach(2) x
......5....4.18.9.3...7...6.6.9.2...79..8..43.............94.81..1..56........... # x ach(2) x
......29.9.6.3...7......4...613...4.....6....8.3.5...22....785.....8..2.1.89.56.. # x ach(1) x
...3.721....2.......9.6.38.8.6..1.....5....2..9.....68.4357....7.....8........5.. # x ach(1) x
...86.9...8..91..31.5.2.6..561..........7......3......9....45......59..1..7..6.8. # x ach(1) x

#0904: Death Blossom

#10xx: Enumeration on Selected Cells
#1000: Aligned Pair Exclusion
#1001: Aligned Triple Exclusion
#1002: Subset Exclusion

#11xx: Miscellaneous
#1101: Sue de Coq
..4....9765.....2191...73.42.1.3....5.32.6...............6........1746..7...9..1. # s sdc(11) s
.1.....49..9315.68......5......96......4...2..3........6...78......4...67.5.3...4 # s sdc(9) s
.....3.......2.86.867.1.4....35..2.17183....4..4...........47.55...............9. # s sdc(9) s
...7284..1.2.3..7....1....968............96.1....5...87..4.......6...39.5.1...... # s sdc(7) s
3....9742...5..6.........1........611.986.........3.....1.2..3..4...5..75......28 # s sdc(6) s
....8..1684697.......3..94...54....1....2..9..64.15..2.7....3.9138............... # s sdc(6) s
..1..8.2.8...9.64.5.2.....7.8..2.........9..3...41..............6.9..51...714..6. # s sdc(6) s
..83.7..926....3.........4.3...521.87.4..8..5.5........8...6..7.....52....1...... # s sdc(4) s
..8....91.62.3..8...............2....7.....358.9.5372..346..1....1.85.........9.. # s sdc(1) s
..159...........9..2..736...42..6.789...875..........95...1274313................ # s sdc(1) s
3.9...5.........29.6.....3..3.2...6.7....5.8225.7.4....7.......19.4.3......5..3.. # ssts sdc(13) s
..9.....8..1.9.......6...47....4..599.523....8....1.2....4.........2.3..54....... # ssts sdc(13) s
....4..67..9..8..4..4..3..........8..7...2..961.5...7.2..........3....4.1..2.43.. # ssts sdc(12) s
..51......84..26................5.9.7..96..5....2.4..8.4..7..13.6.42.5.9..1...... # ssts sdc(12) s
...1....4.........64....53...29.........1.34..59.8..7.......7...6..9......75.641. # ssts sdc(12) s
5...4.9.2.......41.13..65......17.2.3.........61.98...98......5.............84..3 # ssts sdc(11) s
4..7...895...681...7..........8.23...63....5..................4.91..7.2..2.9..81. # ssts sdc(11) s
6....5..3...7.91.521...4....219...8......356...4....3.......2.......7..449....... # ssts sdc(11) s
....32..52.4...7.....9....8.4.2598.........5..16........7.....98.....43.6..5..... # ssts sdc(11) s
.....72....6.....1.8..623...98.......3..7......7239.8.9......2...4..69..6...58.4. # ssts sdc(10) s
1...4..2..437...9.98..51.3...8.7........1.5..2....3.8.4.6.....2....9...4......35. # ssts sdc(8) s
.........3.4...92...52.8.614.6.......12..4...87.6...9..8.7.531..............1..8. # ssts sdc(8) s
5.234...........7.6...2.....865..4.........532...376....768..919........8.....3.. # ssts sdc(7) s
.2..38.4...64...1.8.4.9...77......2131.8..5..............2.1..........6...395.... # ssts sdc(7) s
.2..58...........6.5.....4...5..16.29..736.1........7..3.4.......91...635...9..87 # ssts sdc(6) s
...5...4...5...3.97.......6.1...7.8..8.1.9....73.....424.3.....9.8....31...2...9. # ssts sdc(6) s
.......975.7..3.......6...13..6.......2.341.9.49.7.8.............3.4...27.4..8.53 # ssts sdc(6) s
...1......429............65.7..6.21..8.49...3........63......51....4....1...5.89. # ssts sdc(5) s
85.4............34..6..9....1........7...824.......783987.1...6...........2563... # ssts sdc(4) s
.2..1..893.4..97.2.6.5.......8.41..5......12.93.......4....8.......7.24.......... # ssts sdc(4) s
9.6.......41.............7.....6...3..891.74.12.8.....86..325....2.....6.57....3. # ssts sdc(4) s
.61..7......6859....42............57.47....6..8..3....7....9.3.35....4........2.. # ssts sdc(3) s

#1102: Subset Counting
#1103: Braid Analysis
#1104: Constraint Subsets
#1105: Equivalence Marks

#12xx:Forcing Chains/Nets
#1201: Forcing Chain Contradiction
# set value
#delete candidate

#1202: Forcing Chain Verity
# set value
.7..96.....352.68...6..47.248.....2..........51..............7.....3.5.9168.....3 # s fcv(0) s
.3.174...6..........4...3.....61.27...1.9...8..9.........8..5.42.8....37....5..92 # ssts fcv(0) s
8...........8..53.5...2.6..............5..81..46..2.......3...5..9.41.7.6.3....29 # ssts fcv(0) s
......791.235.1......6.......6.8..........12..4..13.....1.64..2..2..84..4......85 # ssts fcv(0) s
.....8954.....5.7.9.4.7...87...............2352973.......5.....38..2....271...... # ssts fcv(0) s
85..4......3.....2..9.6....218....76...5....1......9...9.7...2...64.....7...86.9. # ssts fcv(0) s
.218.5...........39......6...3.7..5.....9.....76..2......9.7..17...246.......123. # ssts fcv(0) s
8....27......3.........78137........52....43.....246........2.73.1..6.....6.78... # ssts fcv(0) s
#delete candidate

#1203: Forcing Net Contradiction
# set value
#delete candidate

#1204: Forcing Net Verity
# set value
#delete candidate
